view,direction,country,slice,K,recall,n
V1,fwd,India,all,5,0.4585,6791
V1,fwd,India,all,10,0.541,6791
V1,fwd,India,all,20,0.5925,6791
V1,fwd,India,all,50,0.6513,6791
V1,fwd,India,all,100,0.6894,6791
V1,fwd,India,all,200,0.7123,6791
V1,fwd,India,dba,5,0.131,84
V1,fwd,India,dba,10,0.2857,84
V1,fwd,India,dba,20,0.381,84
V1,fwd,India,dba,50,0.4881,84
V1,fwd,India,dba,100,0.5833,84
V1,fwd,India,dba,200,0.6667,84
V1,fwd,India,domain_or_handle,5,0.3462,312
V1,fwd,India,domain_or_handle,10,0.5288,312
V1,fwd,India,domain_or_handle,20,0.6186,312
V1,fwd,India,domain_or_handle,50,0.6603,312
V1,fwd,India,domain_or_handle,100,0.7692,312
V1,fwd,India,domain_or_handle,200,0.8301,312
V1,fwd,India,empty_address,5,0.5902,266
V1,fwd,India,empty_address,10,0.6692,266
V1,fwd,India,empty_address,20,0.7406,266
V1,fwd,India,empty_address,50,0.8158,266
V1,fwd,India,empty_address,100,0.8534,266
V1,fwd,India,empty_address,200,0.8797,266
V1,fwd,India,no_shared_name_word,5,0.1368,760
V1,fwd,India,no_shared_name_word,10,0.2132,760
V1,fwd,India,no_shared_name_word,20,0.2474,760
V1,fwd,India,no_shared_name_word,50,0.2697,760
V1,fwd,India,no_shared_name_word,100,0.3158,760
V1,fwd,India,no_shared_name_word,200,0.3408,760
V1,fwd,India,nonlatin_name,5,0.0049,1229
V1,fwd,India,nonlatin_name,10,0.0073,1229
V1,fwd,India,nonlatin_name,20,0.0098,1229
V1,fwd,India,nonlatin_name,50,0.0122,1229
V1,fwd,India,nonlatin_name,100,0.0244,1229
V1,fwd,India,nonlatin_name,200,0.0439,1229
V1,fwd,US,all,5,0.5476,10740
V1,fwd,US,all,10,0.6453,10740
V1,fwd,US,all,20,0.7125,10740
V1,fwd,US,all,50,0.7731,10740
V1,fwd,US,all,100,0.8125,10740
V1,fwd,US,all,200,0.8535,10740
V1,fwd,US,dba,5,0.2086,187
V1,fwd,US,dba,10,0.3422,187
V1,fwd,US,dba,20,0.492,187
V1,fwd,US,dba,50,0.6524,187
V1,fwd,US,dba,100,0.6952,187
V1,fwd,US,dba,200,0.7219,187
V1,fwd,US,domain_or_handle,5,0.3451,649
V1,fwd,US,domain_or_handle,10,0.5146,649
V1,fwd,US,domain_or_handle,20,0.6379,649
V1,fwd,US,domain_or_handle,50,0.6934,649
V1,fwd,US,domain_or_handle,100,0.7273,649
V1,fwd,US,domain_or_handle,200,0.7889,649
V1,fwd,US,empty_address,5,0.6092,499
V1,fwd,US,empty_address,10,0.7054,499
V1,fwd,US,empty_address,20,0.7595,499
V1,fwd,US,empty_address,50,0.7976,499
V1,fwd,US,empty_address,100,0.8236,499
V1,fwd,US,empty_address,200,0.8617,499
V1,fwd,US,no_shared_name_word,5,0.2762,829
V1,fwd,US,no_shared_name_word,10,0.4077,829
V1,fwd,US,no_shared_name_word,20,0.509,829
V1,fwd,US,no_shared_name_word,50,0.5537,829
V1,fwd,US,no_shared_name_word,100,0.585,829
V1,fwd,US,no_shared_name_word,200,0.6357,829
V1,rev,India,all,1,0.489,6791
V1,rev,India,all,2,0.5565,6791
